scenario,sample,valid_runs,failure_runs,abs_x_smd,abs_pre_mean_smd,abs_pre_slope_smd,mean_placebo_did,mean_pretrend_coef
A,After,500,0,0.0007274315195464904,0.06365546369643117,0.07880335672897085,0.024381853522064637,-0.007481572185807191
A,Before,500,0,0.05190481666370395,0.0550999926346808,0.05678568788623087,0.03350192637387993,-0.0001685901890442576
B,After,500,0,0.001323684976727839,0.06454709849898026,0.07155219097983462,0.013977586226761922,0.03425435696222679
B,Before,500,0,0.7494657625652118,0.47700788369701236,0.3557300781468634,4.251266778352934,2.8509976636062873
C,After,500,0,0.0008023375296245626,0.3039197836319162,0.35816090236994014,4.276301011554171,2.864944844288656
C,Before,500,0,0.1790031433665594,0.39076312355429615,0.3540077805604765,4.227511603493639,2.8355394224037282
D,After,500,0,0.0012915296997335409,0.06219187304029333,0.0725939055971975,-0.037322770805478835,-0.045777733846187385
D,Before,500,0,0.7592612072988183,0.4806722730839206,0.35580671030640726,4.297609999544149,2.842926824022164
